% Model:              zahra.mph
% Version:            COMSOL 5.3.1.275
% Date:               May 12 2020, 02:02
% Dimension:          3
% Nodes:              5948
% Expressions:        4
% Description:        Temperature, Mach number, Pressure, Density
% Length unit:        mm
% x                       y                        z                        T (K)                    hmnf.Ma (1)              p (Pa)                   hmnf.rho (kg/m^3)
-25.4                     -38.311238755992896      -7.352964581847827       272.2198620699728        1.5705293742078794       93280.92774959852        1.193963775120277
10.160000000000002        -50.79999999999999       -25.39999999999999       270.7947199807085        1.577955672726288        93162.49157839316        1.1987234633556723
5.080000000000003         -50.8                    -25.4                    270.21601438204704       1.5738555749328447       92345.43769081059        1.1907551359324609
7.358438330736973         -50.8                    -21.079868744310886      270.71740249302474       1.5447633232532054       91776.60371755014        1.1812284843344367
7.261706086569987         -47.05021233680005       -22.12274132427441       270.98164092905785       1.5469819622781928       91950.16599300521        1.1823083384384698
2.5400000000000005        -50.8                    -21.000590948775056      271.0987014156139        1.5355914765956589       92045.7416605274         1.183026212307915
7.610084100363819         -46.4064858167354        -25.4                    270.73556915724834       1.5856496405383689       93189.75580266105        1.1993362486560137
15.24                     -50.8                    -25.399999999999995      271.5330289966594        1.577434021302189        94612.38988729798        1.2140692286894832
12.429518999813688        -46.33930670338339       -25.4                    271.5294103135397        1.5862428652682965       94150.25437715332        1.2081551918834315
12.053974723883812        -50.8                    -20.938926026912956      271.49364405667853       1.5466488665976166       92809.98710037956        1.1911135051354766
-7.298484648394507        -50.8                    -12.047245331187705      272.42561405991734       1.4356007345266517       90371.67351560124        1.155852693704656
-14.515714219064176       -46.17977481931523       -8.437295170577928       270.89662737779605       1.4710334054244567       88829.85138109507        1.1425453328158133
-10.893089102373422       -46.95856143881352       -10.66618064245577       270.97883519593864       1.4268323987386389       88356.03656395459        1.1361062732284315
-9.303942678585326        -50.8                    -8.528512032245859       272.89194171801995       1.41132165405028         90345.85075250316        1.153547822186205
-8.016771968265052        -46.49732629096237       -10.222748711730059      270.93856426220134       1.3976275805317577       87257.52539060797        1.1221480793708083
-11.035872617891577       -46.72506531759806       -5.398266199997134       271.00550054581066       1.421330063000874        87638.45798513322        1.1267685717427656
-8.914664947355098        -50.8                    -4.457519489490067       273.0189662540505        1.3913396547833434       89661.70886601649        1.1442799733222762
-4.898071036001737        -50.8                    -7.451850798109915       272.83441183857565       1.3896832804199841       89279.7439485178         1.1401759958030195
-16.910457757256346       -35.09977210066741       -25.400000000000002      274.5577138943978        1.573076870882362        98802.34576179508        1.253867682619896
-14.790355392634787       -37.17939980919472       -23.249860109420286      272.07416873312405       1.5830273795537009       94644.728666551          1.2120686623305306
-10.621300893783365       -42.25115831242178       -21.750210513194627      271.63680228353775       1.5436291802391888       92915.94802908594        1.1918449382223377
-12.597117866595807       -37.779345539953326      -25.400000000000002      272.1574669671239        1.5845491523057618       94965.27204190941        1.215801474457979
-13.63454376961769        -40.60882595967578       -21.099720218840577      271.67632502545626       1.5618027474838103       93210.07454598257        1.1954438020148825
-9.968832040843152        -42.09690064132017       -25.400000000000002      272.0126919426231        1.5658969502532594       94215.3691449206         1.2068427586920174
2.540000000000006         -46.400590948775054      -25.4                    269.7666993075472        1.5830342408112723       91898.74272159768        1.1869688856867275
1.6653345369377348E-15    -50.8                    -25.4                    270.67475417329          1.5654357601340718       92733.00212197287        1.1937260519117812
-2.5399999999999974       -46.400590948775054      -25.4                    270.1466699478371        1.5746100869225008       92167.53205141949        1.1887661866126564
-2.5399999999999947       -50.8                    -21.00059094877505       271.33188034395846       1.5282658756173044       92254.02819352069        1.1846842565591
-4.951610960858076        -47.411103607157074      -16.9319933035726        271.16910087809964       1.4827810562420263       90096.5941195541         1.1576739902671738
-2.5707979338905385       -50.8                    -12.198823886756276      272.54790869309187       1.4175501058284974       89396.15972658404        1.1428628404808838
-0.046585219008935475     -50.8                    -16.64896196789628       271.9858291281325        1.4572655336408917       89971.9450204652         1.1526008492324702
-7.608058017949042        -43.89349066516779       -22.400700807548677      271.1987509782115        1.5459544778728045       92496.21824865931        1.1883774301006929
-5.031042531812352        -42.12831341361255       -25.4                    270.687102222132         1.5806765517411743       92902.24277969493        1.1958500855674359
-7.865576591114772        -40.956847360290766      -21.938414543868653      270.7101679917069        1.561087076946355        92165.0556887008         1.1862598313200685
